,Project Name,Package Name,Type Name,Code Smell
46,quartz,org.quartz.integrations.tests,MyLock,Unutilized Abstraction
47,quartz,org.quartz.integrations.tests,QuartzMemoryTestSupport,Unutilized Abstraction
48,quartz,org.quartz.integrations.tests,JobClassNotFoundExceptionErrorsTriggersTest,Unutilized Abstraction
49,quartz,org.quartz.integrations.tests,JobClassNotFoundExceptionErrorsTriggersTest,Broken Hierarchy
50,quartz,org.quartz.integrations.tests,HelloJob,Unutilized Abstraction
51,quartz,org.quartz.integrations.tests,QTZ283_IgnoreMisfirePolicyJdbcStore_Test,Unutilized Abstraction
52,quartz,org.quartz.integrations.tests,QTZ283_IgnoreMisfirePolicyJdbcStore_Test,Broken Hierarchy
53,quartz,org.quartz.integrations.tests,TrackingJob,Deficient Encapsulation
54,quartz,org.quartz.integrations.tests,QTZ179_TriggerLostAfterDbRestart_Test,Unutilized Abstraction
55,quartz,org.quartz.integrations.tests,QTZ179_TriggerLostAfterDbRestart_Test,Broken Hierarchy
56,quartz,org.quartz.integrations.tests,QTZ336_MissSchedulingChangeSignalTest,Unutilized Abstraction
57,quartz,org.quartz.integrations.tests,QuartzMemoryPauseAndResumeTest,Unutilized Abstraction
58,quartz,org.quartz.integrations.tests,QuartzMemoryPauseAndResumeTest,Broken Hierarchy
59,quartz,org.quartz.examples.example9,Job1Listener,Unutilized Abstraction
60,quartz,org.quartz.examples.example13,SimpleRecoveryStatefulJob,Broken Hierarchy
61,quartz,org.quartz.examples.example10,SimpleJob,Unutilized Abstraction
62,quartz,org.quartz.examples.example4,ColorJob,Deficient Encapsulation
63,quartz,org.quartz.examples.example11,SimpleJob,Deficient Encapsulation
64,quartz,org.quartz.examples.example5,StatefulDumbJob,Deficient Encapsulation
65,quartz,org.quartz.examples.example12,SimpleJob,Deficient Encapsulation
66,quartz,org.quartz.examples.example15,NativeJob,Deficient Encapsulation
67,quartz,org.quartz.examples.example15,StreamConsumer,Unutilized Abstraction
68,quartz,weblogic.jdbc.vendor.oracle,OracleThinBlob,Unutilized Abstraction
69,quartz,oracle.sql,BLOB,Unutilized Abstraction
70,quartz,org.quartz,Scheduler,Cyclic-Dependent Modularization
71,quartz,org.quartz,Scheduler,Insufficient Modularization
72,quartz,org.quartz,DailyTimeIntervalTrigger,Deficient Encapsulation
73,quartz,org.quartz,DailyTimeIntervalTrigger,Rebellious Hierarchy
74,quartz,org.quartz,CalendarIntervalTrigger,Deficient Encapsulation
75,quartz,org.quartz,CalendarIntervalTrigger,Broken Hierarchy
76,quartz,org.quartz,CalendarIntervalTrigger,Rebellious Hierarchy
77,quartz,org.quartz,DateBuilder,Deficient Encapsulation
78,quartz,org.quartz,DateBuilder,Insufficient Modularization
79,quartz,org.quartz,JobExecutionException,Broken Hierarchy
80,quartz,org.quartz,SimpleTrigger,Deficient Encapsulation
81,quartz,org.quartz,SimpleTrigger,Broken Hierarchy
82,quartz,org.quartz,SimpleTrigger,Rebellious Hierarchy
83,quartz,org.quartz,DailyTimeIntervalScheduleBuilder,Deficient Encapsulation
84,quartz,org.quartz,DailyTimeIntervalScheduleBuilder,Cyclic-Dependent Modularization
85,quartz,org.quartz,Job,Wide Hierarchy
86,quartz,org.quartz,Trigger,Deficient Encapsulation
87,quartz,org.quartz,Trigger,Cyclic-Dependent Modularization
88,quartz,org.quartz,Trigger,Insufficient Modularization
89,quartz,org.quartz,TriggerTimeComparator,Cyclic-Dependent Modularization
90,quartz,org.quartz,SimpleScheduleBuilder,Cyclic-Dependent Modularization
91,quartz,org.quartz,SimpleScheduleBuilder,Insufficient Modularization
92,quartz,org.quartz,StatefulJob,Unnecessary Abstraction
93,quartz,org.quartz,StatefulJob,Unutilized Abstraction
94,quartz,org.quartz,CalendarIntervalScheduleBuilder,Cyclic-Dependent Modularization
95,quartz,org.quartz,TriggerBuilder,Insufficient Modularization
96,quartz,org.quartz,CronScheduleBuilder,Cyclic-Dependent Modularization
97,quartz,org.quartz,CronTrigger,Deficient Encapsulation
98,quartz,org.quartz,CronTrigger,Broken Hierarchy
99,quartz,org.quartz,CronTrigger,Rebellious Hierarchy
100,quartz,org.quartz,CronExpression,Deficient Encapsulation
101,quartz,org.quartz,CronExpression,Insufficient Modularization
102,quartz,org.quartz,ValueSet,Unnecessary Abstraction
103,quartz,org.quartz,ValueSet,Unutilized Abstraction
104,quartz,org.quartz,ValueSet,Deficient Encapsulation
105,quartz,org.quartz,ObjectAlreadyExistsException,Unutilized Abstraction
106,quartz,org.quartz,ObjectAlreadyExistsException,Broken Hierarchy
107,quartz,org.quartz,JobPersistenceException,Unutilized Abstraction
108,quartz,org.quartz,JobPersistenceException,Broken Hierarchy
109,quartz,org.quartz,JobBuilder,Cyclic-Dependent Modularization
110,quartz,org.quartz,JobBuilder,Insufficient Modularization
111,quartz,org.quartz,JobDataMap,Insufficient Modularization
112,quartz,org.quartz,SchedulerConfigException,Unutilized Abstraction
113,quartz,org.quartz,SchedulerConfigException,Broken Hierarchy
114,quartz,org.quartz,UnableToInterruptJobException,Unutilized Abstraction
115,quartz,org.quartz,UnableToInterruptJobException,Broken Hierarchy
116,quartz,org.quartz,ListenerManager,Insufficient Modularization
117,quartz,org.quartz,TriggerComparatorTest,Unutilized Abstraction
118,quartz,org.quartz,Qtz205SchedulerListenerTest,Unutilized Abstraction
119,quartz,org.quartz,Qtz205SchedulerListenerTest,Insufficient Modularization
120,quartz,org.quartz,Qtz205ScheListener,Insufficient Modularization
121,quartz,org.quartz,TestJob,Unutilized Abstraction
122,quartz,org.quartz,TestJob,Broken Hierarchy
123,quartz,org.quartz,CronScheduleBuilderTest,Unutilized Abstraction
124,quartz,org.quartz,DailyTimeIntervalScheduleBuilderTest,Unutilized Abstraction
125,quartz,org.quartz,DefaultSchedulerTest,Unutilized Abstraction
126,quartz,org.quartz,AnnualCalendarTest,Unutilized Abstraction
127,quartz,org.quartz,AnnualCalendarTest,Broken Hierarchy
128,quartz,org.quartz,CronExpressionTest,Unutilized Abstraction
129,quartz,org.quartz,CronExpressionTest,Broken Hierarchy
130,quartz,org.quartz,Quartz601Test,Unutilized Abstraction
131,quartz,org.quartz,CalendarIntervalTriggerTest,Unutilized Abstraction
132,quartz,org.quartz,CalendarIntervalTriggerTest,Broken Hierarchy
133,quartz,org.quartz,SimpleTriggerTest,Unutilized Abstraction
134,quartz,org.quartz,SimpleTriggerTest,Broken Hierarchy
135,quartz,org.quartz,CronTriggerTest,Unutilized Abstraction
136,quartz,org.quartz,CronTriggerTest,Broken Hierarchy
137,quartz,org.quartz,MonthlyCalendarTest,Unutilized Abstraction
138,quartz,org.quartz,TriggerBuilderTest,Unutilized Abstraction
139,quartz,org.quartz,TestStatefulJob,Unutilized Abstraction
140,quartz,org.quartz,TestStatefulJob,Broken Hierarchy
141,quartz,org.quartz,TestJob,Unutilized Abstraction
142,quartz,org.quartz,JdbcSchedulerTest,Unutilized Abstraction
143,quartz,org.quartz,JobBuilderTest,Unutilized Abstraction
144,quartz,org.quartz,TestStatefulJob,Unutilized Abstraction
145,quartz,org.quartz,TestStatefulJob,Broken Hierarchy
146,quartz,org.quartz,TestJob,Unutilized Abstraction
147,quartz,org.quartz,TestAnnotatedJob,Unutilized Abstraction
148,quartz,org.quartz,JobDataMapTest,Unutilized Abstraction
149,quartz,org.quartz,JobDataMapTest,Broken Hierarchy
150,quartz,org.quartz,AbstractJobStoreTest,Unutilized Abstraction
151,quartz,org.quartz,MyJob,Unutilized Abstraction
152,quartz,org.quartz,JobDetailTest,Unutilized Abstraction
153,quartz,org.quartz,SomeExtendedPersistentJob,Unnecessary Abstraction
154,quartz,org.quartz,SomeExtendedNonConcurrentJob,Unnecessary Abstraction
155,quartz,org.quartz,SomeExtendedNonConcurrentPersistentJob,Unnecessary Abstraction
156,quartz,org.quartz,SomeStatefulJob,Unutilized Abstraction
157,quartz,org.quartz,SomeStatefulJob,Broken Hierarchy
158,quartz,org.quartz,SomeExtendedStatefulJob,Unnecessary Abstraction
159,quartz,org.quartz,DateBuilderTest,Unutilized Abstraction
160,quartz,org.quartz,InterruptableJobTest,Unutilized Abstraction
161,quartz,org.quartz,InterruptableJobTest,Deficient Encapsulation
162,quartz,org.quartz,TestInterruptableJob,Deficient Encapsulation
163,quartz,org.quartz,VersionTest,Unutilized Abstraction
164,quartz,org.quartz,SerializationTestSupport,Unutilized Abstraction
165,quartz,org.quartz,RAMSchedulerTest,Unutilized Abstraction
166,quartz,org.quartz,FlakyJdbcSchedulerTest,Unutilized Abstraction
167,quartz,org.quartz,TestJob,Unutilized Abstraction
168,quartz,org.quartz,FlakyConnectionProvider,Unutilized Abstraction
169,quartz,org.quartz,FlakyConnectionInvocationHandler,Unutilized Abstraction
170,quartz,org.quartz,AbstractSchedulerTest,Unutilized Abstraction
171,quartz,org.quartz,AbstractSchedulerTest,Deficient Encapsulation
172,quartz,org.quartz,TestStatefulJob,Unutilized Abstraction
173,quartz,org.quartz,TestStatefulJob,Broken Hierarchy
174,quartz,org.quartz,TestJob,Unutilized Abstraction
175,quartz,org.quartz,TestAnnotatedJob,Unutilized Abstraction
176,quartz,org.quartz,DisallowConcurrentExecutionJobTest,Unutilized Abstraction
177,quartz,org.quartz,TestJob,Unutilized Abstraction
178,quartz,org.quartz,TestJobListener,Unutilized Abstraction
179,quartz,org.quartz.simpl,PropertySettingJobFactory,Unutilized Abstraction
180,quartz,org.quartz.simpl,LoadingLoaderClassLoadHelper,Unutilized Abstraction
181,quartz,org.quartz.simpl,SimpleClassLoadHelper,Unutilized Abstraction
182,quartz,org.quartz.simpl,ThreadContextClassLoadHelper,Unutilized Abstraction
183,quartz,org.quartz.simpl,SystemPropertyInstanceIdGenerator,Deficient Encapsulation
184,quartz,org.quartz.simpl,HostnameInstanceIdGenerator,Unutilized Abstraction
185,quartz,org.quartz.simpl,SimpleThreadPool,Insufficient Modularization
186,quartz,org.quartz.simpl,WorkerThread,Unutilized Abstraction
187,quartz,org.quartz.simpl,SimpleTimeBroker,Unutilized Abstraction
188,quartz,org.quartz.simpl,SimpleJobFactory,Unutilized Abstraction
189,quartz,org.quartz.simpl,RAMJobStore,Insufficient Modularization
190,quartz,org.quartz.simpl,TriggerWrapperComparator,Unutilized Abstraction
191,quartz,org.quartz.simpl,JobWrapper,Unutilized Abstraction
192,quartz,org.quartz.simpl,JobWrapper,Deficient Encapsulation
193,quartz,org.quartz.simpl,TriggerWrapper,Deficient Encapsulation
194,quartz,org.quartz.simpl,InitThreadContextClassLoadHelper,Unutilized Abstraction
195,quartz,org.quartz.simpl,SimpleInstanceIdGenerator,Unutilized Abstraction
196,quartz,org.quartz.simpl,ZeroSizeThreadPool,Unutilized Abstraction
197,quartz,org.quartz.simpl,CascadingClassLoadHelper,Unutilized Abstraction
198,quartz,org.quartz.simpl,RAMJobStoreTest,Unutilized Abstraction
199,quartz,org.quartz.simpl,SystemPropertyInstanceIdGeneratorTest,Unutilized Abstraction
200,quartz,org.quartz.simpl,PropertySettingJobFactoryTest,Unutilized Abstraction
201,quartz,org.quartz.simpl,PropertySettingJobFactoryTest,Insufficient Modularization
202,quartz,org.quartz.simpl,TestBean,Insufficient Modularization
203,quartz,org.quartz.utils.weblogic,WeblogicConnectionProvider,Unutilized Abstraction
204,quartz,org.quartz.utils,HikariCpPoolingConnectionProvider,Unutilized Abstraction
205,quartz,org.quartz.utils,HikariCpPoolingConnectionProvider,Deficient Encapsulation
206,quartz,org.quartz.utils,Key,Deficient Encapsulation
207,quartz,org.quartz.utils,C3p0PoolingConnectionProvider,Deficient Encapsulation
208,quartz,org.quartz.utils,DirtyFlagMap,Insufficient Modularization
209,quartz,org.quartz.utils,DirtyFlagCollection,Unutilized Abstraction
210,quartz,org.quartz.utils,DirtyFlagSet,Unutilized Abstraction
211,quartz,org.quartz.utils,DirtyFlagSet,Broken Hierarchy
212,quartz,org.quartz.utils,DirtyFlagIterator,Unutilized Abstraction
213,quartz,org.quartz.utils,DirtyFlagMapEntrySet,Unutilized Abstraction
214,quartz,org.quartz.utils,DirtyFlagMapEntrySet,Broken Hierarchy
215,quartz,org.quartz.utils,DirtyFlagMapEntryIterator,Unutilized Abstraction
216,quartz,org.quartz.utils,DirtyFlagMapEntry,Unutilized Abstraction
217,quartz,org.quartz.utils,StringKeyDirtyFlagMap,Unutilized Abstraction
218,quartz,org.quartz.utils,StringKeyDirtyFlagMap,Insufficient Modularization
219,quartz,org.quartz.utils,DBConnectionManager,Deficient Encapsulation
220,quartz,org.quartz.utils,PropertiesParser,Insufficient Modularization
221,quartz,org.quartz.utils,DirtyFlagMapTest,Unutilized Abstraction
222,quartz,org.quartz.utils,HikariCpPoolingConnectionProviderTest,Unutilized Abstraction
223,quartz,org.quartz.utils,C3p0PoolingConnectionProviderTest,Unutilized Abstraction
224,quartz,org.quartz.utils,PropertiesParserTest,Unutilized Abstraction
225,quartz,org.quartz.utils,ClassUtilsTest,Unutilized Abstraction
226,quartz,org.quartz.utils,ExtendedJob,Unnecessary Abstraction
227,quartz,org.quartz.utils,ReallyExtendedJob,Unnecessary Abstraction
228,quartz,org.quartz.utils.counter.sampled,SampledRateCounter,Unutilized Abstraction
229,quartz,org.quartz.utils.counter.sampled,SampledRateCounter,Broken Hierarchy
230,quartz,org.quartz.utils.counter.sampled,SampledRateCounterImpl,Cyclic-Dependent Modularization
231,quartz,org.quartz.utils.counter.sampled,SampledRateCounterConfig,Cyclic-Dependent Modularization
232,quartz,org.quartz.utils.counter,CounterManagerImpl,Unutilized Abstraction
233,quartz,org.quartz.utils.counter,CounterImpl,Unutilized Abstraction
234,quartz,org.quartz.management,ManagementServer,Unutilized Abstraction
235,quartz,org.quartz.management,ManagementRESTServiceConfiguration,Deficient Encapsulation
236,quartz,org.quartz.ee.jmx.jboss,QuartzService,Unutilized Abstraction
237,quartz,org.quartz.ee.jmx.jboss,QuartzServiceMBean,Unutilized Abstraction
238,quartz,org.quartz.ee.jmx.jboss,JBoss4RMIRemoteMBeanScheduler,Unutilized Abstraction
239,quartz,org.quartz.ee.jta,UserTransactionHelper,Deficient Encapsulation
240,quartz,org.quartz.ee.jta,JTAAnnotationAwareJobRunShellFactory,Unutilized Abstraction
241,quartz,org.quartz.ee.jta,JTAJobRunShell,Unutilized Abstraction
242,quartz,org.quartz.ee.jta,JTAJobRunShellFactory,Unutilized Abstraction
243,quartz,org.quartz.ee.servlet,QuartzInitializerServlet,Unutilized Abstraction
244,quartz,org.quartz.ee.servlet,QuartzInitializerServlet,Deficient Encapsulation
245,quartz,org.quartz.ee.servlet,QuartzInitializerListener,Unutilized Abstraction
246,quartz,org.quartz.ee.servlet,QuartzInitializerListener,Deficient Encapsulation
247,quartz,org.quartz.plugins.history,LoggingJobHistoryPlugin,Unutilized Abstraction
248,quartz,org.quartz.plugins.history,LoggingTriggerHistoryPlugin,Unutilized Abstraction
249,quartz,org.quartz.plugins,SchedulerPluginWithUserTransactionSupport,Unutilized Abstraction
250,quartz,org.quartz.plugins.management,ShutdownHookPlugin,Unutilized Abstraction
251,quartz,org.quartz.plugins.xml,XMLSchedulingDataProcessorPlugin,Unutilized Abstraction
252,quartz,org.quartz.plugins.xml,JobFile,Unutilized Abstraction
253,quartz,org.quartz.plugins.xml,FileScanJob,Deficient Encapsulation
254,quartz,org.quartz.plugins.xml,FileScanListener,Unutilized Abstraction
255,quartz,org.quartz.plugins.interrupt,JobInterruptMonitorPlugin,Deficient Encapsulation
256,quartz,org.quartz.plugins.interrupt,InterruptMonitor,Unutilized Abstraction
257,quartz,org.quartz.xml,XMLSchedulingDataProcessor,Deficient Encapsulation
258,quartz,org.quartz.xml,XMLSchedulingDataProcessor,Insufficient Modularization
259,quartz,org.quartz.xml,ValidationException,Unutilized Abstraction
260,quartz,org.quartz.xml,XMLSchedulingDataProcessorTest,Unutilized Abstraction
261,quartz,org.quartz.helpers,VersionPrinter,Unutilized Abstraction
262,quartz,org.quartz.commonj,WorkManagerThreadExecutor,Unutilized Abstraction
263,quartz,org.quartz.commonj,DelegatingWork,Unutilized Abstraction
264,quartz,org.quartz.core,QuartzScheduler,Cyclic-Dependent Modularization
265,quartz,org.quartz.core,QuartzScheduler,Insufficient Modularization
266,quartz,org.quartz.core,ErrorLogger,Unutilized Abstraction
267,quartz,org.quartz.core,ExecutingJobsManager,Unutilized Abstraction
268,quartz,org.quartz.core,SchedulerSignalerImpl,Unutilized Abstraction
269,quartz,org.quartz.core,ListenerManagerImpl,Insufficient Modularization
270,quartz,org.quartz.core,SampledStatisticsImpl,Unutilized Abstraction
271,quartz,org.quartz.core,QuartzSchedulerThread,Cyclic-Dependent Modularization
272,quartz,org.quartz.core,QuartzSchedulerMBeanImpl,Insufficient Modularization
273,quartz,org.quartz.core,QuartzSchedulerResources,Deficient Encapsulation
274,quartz,org.quartz.core,QuartzSchedulerResources,Insufficient Modularization
275,quartz,org.quartz.core,RemotableQuartzScheduler,Insufficient Modularization
276,quartz,org.quartz.core,NullSampledStatisticsImpl,Unutilized Abstraction
277,quartz,org.quartz.core,JobRunShell,Cyclic-Dependent Modularization
278,quartz,org.quartz.core,VetoedException,Unutilized Abstraction
279,quartz,org.quartz.core,ListenerManagerTest,Unutilized Abstraction
280,quartz,org.quartz.core,TestJobListener,Unutilized Abstraction
281,quartz,org.quartz.core,TestTriggerListener,Unutilized Abstraction
282,quartz,org.quartz.core,TestSchedulerListener,Unnecessary Abstraction
283,quartz,org.quartz.core,TestSchedulerListener,Unutilized Abstraction
284,quartz,org.quartz.core,QTZ212_SchedulerListener_Test,Unutilized Abstraction
285,quartz,org.quartz.core,TestSchedulerListener,Unutilized Abstraction
286,quartz,org.quartz.core.jmx,JobDataMapSupport,Deficient Encapsulation
287,quartz,org.quartz.core.jmx,SimpleTriggerSupport,Cyclic-Dependent Modularization
288,quartz,org.quartz.core.jmx,TriggerSupport,Cyclic-Dependent Modularization
289,quartz,org.quartz.core.jmx,QuartzSchedulerMBean,Insufficient Modularization
290,quartz,org.quartz.core.jmx,CronTriggerSupport,Cyclic-Dependent Modularization
291,quartz,org.quartz.listeners,BroadcastSchedulerListener,Unutilized Abstraction
292,quartz,org.quartz.listeners,BroadcastSchedulerListener,Insufficient Modularization
293,quartz,org.quartz.listeners,JobChainingJobListener,Unutilized Abstraction
294,quartz,org.quartz.listeners,BroadcastTriggerListener,Unutilized Abstraction
295,quartz,org.quartz.listeners,BroadcastJobListener,Unutilized Abstraction
296,quartz,org.quartz.listeners,JobListenerSupport,Unutilized Abstraction
297,quartz,org.quartz.listeners,TriggerListenerSupport,Unutilized Abstraction
298,quartz,org.quartz.listeners,SchedulerListenerSupport,Unutilized Abstraction
299,quartz,org.quartz.listeners,SchedulerListenerSupport,Insufficient Modularization
300,quartz,org.quartz.spi,OperableTrigger,Broken Hierarchy
301,quartz,org.quartz.spi,JobFactory,Cyclic-Dependent Modularization
302,quartz,org.quartz.spi,JobStore,Insufficient Modularization
303,quartz,org.quartz.spi,TimeBroker,Unutilized Abstraction
304,quartz,org.quartz.impl.calendar,DailyCalendar,Insufficient Modularization
305,quartz,org.quartz.impl.calendar,CalendarComparator,Unutilized Abstraction
306,quartz,org.quartz.impl.calendar,DailyCalendarTest,Unutilized Abstraction
307,quartz,org.quartz.impl.calendar,BaseCalendarTest,Unutilized Abstraction
308,quartz,org.quartz.impl,StdJobRunShellFactory,Unutilized Abstraction
309,quartz,org.quartz.impl,StdSchedulerFactory,Deficient Encapsulation
310,quartz,org.quartz.impl,StdSchedulerFactory,Insufficient Modularization
311,quartz,org.quartz.impl,StdScheduler,Unutilized Abstraction
312,quartz,org.quartz.impl,StdScheduler,Insufficient Modularization
313,quartz,org.quartz.impl,JobExecutionContextImpl,Insufficient Modularization
314,quartz,org.quartz.impl,RemoteMBeanScheduler,Insufficient Modularization
315,quartz,org.quartz.impl,RemoteScheduler,Insufficient Modularization
316,quartz,org.quartz.impl,JobDetailImpl,Cyclic-Dependent Modularization
317,quartz,org.quartz.impl,JobDetailImpl,Insufficient Modularization
318,quartz,org.quartz.impl,DirectSchedulerFactory,Deficient Encapsulation
319,quartz,org.quartz.impl,SchedulerDetailsSetterTest,Unutilized Abstraction
320,quartz,org.quartz.impl,JobDetailImplTest,Unutilized Abstraction
321,quartz,org.quartz.impl,DirectSchedulerFactoryTest,Unutilized Abstraction
322,quartz,org.quartz.impl,StdSchedulerFactoryCustomConnectionProviderTest,Unutilized Abstraction
323,quartz,org.quartz.impl,StdSchedulerFactoryTest,Unutilized Abstraction
324,quartz,org.quartz.impl,MockConnectionProvider,Deficient Encapsulation
325,quartz,org.quartz.impl,MockSQLException,Unutilized Abstraction
326,quartz,org.quartz.impl,RemoteMBeanSchedulerTest,Unutilized Abstraction
327,quartz,org.quartz.impl,RemoteMBeanSchedulerTest,Deficient Encapsulation
328,quartz,org.quartz.impl,TestRemoteScheduler,Unutilized Abstraction
329,quartz,org.quartz.impl.triggers,CronTriggerImpl,Cyclic-Dependent Modularization
330,quartz,org.quartz.impl.triggers,CronTriggerImpl,Insufficient Modularization
331,quartz,org.quartz.impl.triggers,SimpleTriggerImpl,Cyclic-Dependent Modularization
332,quartz,org.quartz.impl.triggers,SimpleTriggerImpl,Insufficient Modularization
333,quartz,org.quartz.impl.triggers,DailyTimeIntervalTriggerImpl,Cyclic-Dependent Modularization
334,quartz,org.quartz.impl.triggers,DailyTimeIntervalTriggerImpl,Insufficient Modularization
335,quartz,org.quartz.impl.triggers,CalendarIntervalTriggerImpl,Cyclic-Dependent Modularization
336,quartz,org.quartz.impl.triggers,CalendarIntervalTriggerImpl,Insufficient Modularization
337,quartz,org.quartz.impl.triggers,AbstractTrigger,Insufficient Modularization
338,quartz,org.quartz.impl.triggers,CoreTrigger,Unutilized Abstraction
339,quartz,org.quartz.impl.triggers,DailyTimeIntervalTriggerImplTest,Unutilized Abstraction
340,quartz,org.quartz.impl.triggers,DailyTimeIntervalTriggerImplTest,Insufficient Modularization
341,quartz,org.quartz.impl.matchers,GroupMatcher,Broken Hierarchy
342,quartz,org.quartz.impl.matchers,NameMatcher,Broken Hierarchy
343,quartz,org.quartz.impl.matchers,GroupMatcherTest,Unutilized Abstraction
344,quartz,org.quartz.impl.jdbcjobstore,TablePrefixAware,Unutilized Abstraction
345,quartz,org.quartz.impl.jdbcjobstore,SimplePropertiesTriggerPersistenceDelegateSupport,Unutilized Abstraction
346,quartz,org.quartz.impl.jdbcjobstore,SimplePropertiesTriggerPersistenceDelegateSupport,Broken Hierarchy
347,quartz,org.quartz.impl.jdbcjobstore,UpdateLockRowSemaphore,Unutilized Abstraction
348,quartz,org.quartz.impl.jdbcjobstore,UpdateLockRowSemaphore,Deficient Encapsulation
349,quartz,org.quartz.impl.jdbcjobstore,UpdateLockRowSemaphore,Broken Hierarchy
350,quartz,org.quartz.impl.jdbcjobstore,DB2v8Delegate,Unutilized Abstraction
351,quartz,org.quartz.impl.jdbcjobstore,CacheDelegate,Unutilized Abstraction
352,quartz,org.quartz.impl.jdbcjobstore,CacheDelegate,Broken Hierarchy
353,quartz,org.quartz.impl.jdbcjobstore,BlobFreeingStream,Unutilized Abstraction
354,quartz,org.quartz.impl.jdbcjobstore,StdRowLockSemaphore,Unutilized Abstraction
355,quartz,org.quartz.impl.jdbcjobstore,StdRowLockSemaphore,Deficient Encapsulation
356,quartz,org.quartz.impl.jdbcjobstore,StdRowLockSemaphore,Broken Hierarchy
357,quartz,org.quartz.impl.jdbcjobstore,SimpleTriggerPersistenceDelegate,Unutilized Abstraction
358,quartz,org.quartz.impl.jdbcjobstore,SimpleTriggerPersistenceDelegate,Broken Hierarchy
359,quartz,org.quartz.impl.jdbcjobstore,DriverDelegate,Insufficient Modularization
360,quartz,org.quartz.impl.jdbcjobstore,InvalidConfigurationException,Unutilized Abstraction
361,quartz,org.quartz.impl.jdbcjobstore,JobStoreCMT,Unutilized Abstraction
